aid,uid,label,advertiserId,campaignId,creativeId,creativeSize,adCategoryId,productId,productType,age,gender,marriageStatus,education,consumptionAbility,LBS,interest1,interest2,interest3,interest4,interest5,kw1,kw2,kw3,topic1,topic2,topic3,appIdInstall,appIdAction,ct,os,carrier,house
1711,35421482,0,21359,85436,105166,100,21,0,4,1,2.0,10,5,1,803.0,93 70 109 100 76 28 59 49 6 119 114 46 57 17 56 116 36 11,47 73 79 46 32 20 6 37,,,127 100 72 92 37 116 78 71 45 8 30 50 28 6 76 111 20 46 21 65 52 131 69 89 121 59 60 129 93,118425 684449 348145 56515 658713,56906 44452 42786 77930 88919,,4264 5053 2779 9594 7690,5641 3949 9708 6459 6945,,,,1 2 3,2,2,
216,61299987,0,6946,296367,554224,59,24,3794,11,3,1.0,0,3,1,430.0,93 70 76 73 46 36 11 87,,,,,166607 277620 772476 471398 755294,80263 18185 36764 93916 117462,,1812 9826 9264 3483 7684,981 105 423 7816 6637,,,,1 3,1,0,
1257,69854546,0,14936,410402,689133,77,88,0,4,5,1.0,10,7,1,29.0,70 86 12 47 75 48 29 6 2 57 9 36 34 11,46 14,,,127 52 131 37 116 134 71 109 8 6 27 46 121 23 74 59 129 38 40,538596 472718 420771 335038 27063,16631 18185 99936 70672 43525,,9217 9826 8048 7980 7684,336 9818 1886 598 4329,,,,3 1,2 1,1,1.0
2028,58553624,0,44008,236972,344531,79,21,0,4,1,2.0,13 10,3,0,964.0,70 100 76 36 11,,,,72 116 71 8 50 6 42 76 27 64 68 38 40 26 52 31 131 11 79 89 102 121 88 59 60 129 93,46268 285826 526472 520667 133563,56906 22884 87449 78290 92775,,7445 2050 7959 9700 5349,466 6807 8951 9957 391,,,,3 1,2,1,1.0
246,6130967,0,15009,482519,856576,22,101,0,6,4,1.0,0,7,0,270.0,75 29 49 114 36 11,,,,,20423 638138 706402 338851 407303,,,2767 6939 2287 7165 1328,,,,,3,2,0,
1410,50191104,0,21453,209946,323983,91,94,0,4,2,1.0,13,2,1,104.0,70 12 76 34,19 13,,,52 72 131 116 11 13 78 79 8 30 50 6 19 121 57 59 129 35,135479 120517 314149 457706 303574,18185 53212 18780 83288 34128,,6096 4440 1566 116 3931,666 4166 9670 5881 5372,,,,1 3,1,3,
603,71445300,0,1487,1685,1257274,53,4,0,4,5,1.0,10,7,0,585.0,70 37 47 76 28 106 59 49 41 6 114 46 57 9 116,,,,,717934 653473 144353 46819 104174,53851 42140 114152 79676 81436,,9022 5964 9759 7165 7948,6978 787 9047 9968 8357,,,,3 1,2,0,
1852,31693001,0,327,312208,822821,22,67,113,9,2,2.0,10,2,0,275.0,75 29,,,,,121663 643811 411962 258177 338851,29033 67313,,4447 4471 644 1379 0,5373 7369 543 5291 7579,,,,0,0,0,
1964,910127,0,9619,104177,131554,53,4,0,4,5,2.0,15,7,1,585.0,70 86 109 76 28 106 59 49 83 39,,,,52 92 131 116 128 8 86 28 98 6 42 76 111 27 75 121 59 118 58 64 130 93 106,141647 299940 563712 683118 589726,7037 47288 94457 38500 93916,,4149 7283 7165 4816 9221,3006 1853 1765 4192 7594,,,,3,2,1,1.0
2179,54494946,0,21933,124429,160786,59,100,24947,11,4,1.0,11,2,1,932.0,75 29 36 11,24 30,,,71 6 42 27 59 18 36 58 129 40 65,338851 465998 223415 411962,31920 15773 35010 118492 105942,,2509 3460 8402 4138 6927,1026 92 1614 6809 7107,,,,1 3,1,2,
1883,37610077,0,5758,8018,1127575,100,108,0,4,1,1.0,10,7,1,94.0,93 37 16 59 49 6 18 46 116 36 11,,,,100 72 92 37 13 79 50 6 9 75 46 59 60 129,137974 237016 177229 761845 541345,11395 79112 74061 44005 7555,,3790 6366 1015 1601 5991,4338 7315 8747 8083 2287,,,,3 1,1,1,1.0
1125,51628994,0,452,474,477,35,10,240,11,4,2.0,13 15,2,1,921.0,93 118 47 69 33 8 29 59 49 6 46 60 71 9 36 11 38,,6 8 10 4 9 1 7 3 5 2,,100 72 37 116 1 71 109 8 28 6 7 42 99 76 27 20 46 64 56 40 26 52 131 79 29 121 74 59 129 96 93,557693 587246 259102 712677 223270,28206 61483 17460 102639 30789,36983 55758 41630 32984 39804,1462 2320 2076 3414 3662,7477 1853 5180 9806 5404,1257 43 2415 3319 903,57849 50585 12696 7965 6071 34006 34634 55769 56199 60283 6316 4029 60774 30240 6625 21815 50700 13158 12391,,3 4 1,1,2,
1774,13083395,0,10055,86429,1469529,22,10,0,6,4,1.0,11,6,2,346.0,70 109 47 76 75 69 48 28 106 29 59 49 122 5 18 39 9 36 11 54,47 58 24 69 1 52 70 21 4 18 30 41 10,,,72 37 116 71 8 50 6 42 76 46 64 56 114 52 79 29 61 132 89 121 88 23 74 59 129 93,790552 589127 419195 8561 191560,6918 44999 107309 92801 19106,,1812 9826 5488 7684 5415,4357 4190 9062 5133 1570,,,,1 2 3,2,3,
1438,70020634,1,702,15634,278113,35,24,5615,11,3,1.0,13,3,1,105.0,93 70 77 118 12 47 1 75 76 4 102 33 8 29 27 53 46 9 112 36 11,79 52 6 21,,,100 72 80 131 4 79 8 46,761845 696607 492315 146824 162804,66348 117586 87384 81211 92155,,9818 8048 5531 8525 4367,7789 6457 5169 9629 8633,,,,3,1,3,
1039,39968986,0,7565,103691,1416059,91,94,0,4,4,0.0,0,2,0,209.0,59 49,,,,,547462 738095 268945 658528,73507 85195 5306,,7684 9485 5053 7808 173,9806 326 9730 2508 4589,,,,3 1,2,0,
1376,56627417,0,821,888,940690,59,10,439,11,4,2.0,11,7,1,112.0,93 70 76 28 106 67 59 49 41 46 36 11,24 79 73 31 6 30 74 44,,,52 100 72 131 37 116 8 113 69 41 6 132 42 76 46 121 23 59 129 130 103 96 93,8561 99779 427183 126861 490688,105115 75909 47983 35084 66139,,5679 7993 5103 2706 3058,9122 9140 773 2737 6428,,,,3 1,2,1,
1244,34554594,0,47823,111645,287583,100,21,0,4,4,1.0,11,7,1,57.0,70 47 76 49 64 73 114 9 36 11 87,4 41 48,,,127 72 92 131 37 8 113 61 50 6 76 75 89 46 59 18 58 129 96 93,222101 235688 734925 703270 240343,45366 105115 61655 52221 89232,,5828 7684 5509 7165 675,41 2565 4737 7136 5823,,,,3 1,2,1,
55,12434454,0,17597,51385,1774967,35,27,0,6,2,2.0,13 10,2,2,769.0,70 76 75 29 36 11,73 1 70 19 74 54,,,52 31 131 78 109 8 30 28 6 7 42 76 27 89 59 64 40 93 83,413624 289152 487978 434675 605930,39525 12933 13384 93916 67989,,2935 6463 5703 7277 3109,8961 2823 1271 3355 6847,,,,3 1,1,2,1.0
343,56752490,0,327,110094,1448931,35,67,113,9,3,2.0,5 13,3,1,424.0,93 77 86 109 75 4 33 8 29 83 27 6 73 19 46 56 36 11 118 119 39 60 17 3 90 87,24 46 70 30 37 29,,,100 80 37 4 6 46 129,26682 567871 411962 359886 580549,74061 44005 29946 76242 14498,,9826 644 6939 4535 1630,6030 2598 1148 7062 1132,,,,1 3,1,1,
1152,3746213,0,7926,46734,968458,53,8,0,4,2,2.0,13 10,2,1,94.0,93 70 77 76 28 46 36 11,21,,,100 72 80 78 109 124 30 69 50 6 42 76 46 59 118 58 64 96 120 93 83,165680 478921 613088 279516 66722,89107 75746 44001 66915 118000,,4391 5360 6666 6374 523,5013 5651 643 8985 2933,,,,3,1,1,
1499,30562011,1,778,294421,491306,22,102,0,6,3,2.0,11,1,2,519.0,93 70 77 86 98 76 1 75 48 102 29 41 83 46 36 11,,,,100 80 37 50 28 6 99 76 20 102 46 74 93,403083 226422 575247 271833 516721,846 33055 120667 36764 21542,,8525 459 1812 8497 1338,4883 4756 3260 7345 4002,,,,1 3,1 2,1,1.0
1257,3036210,1,14936,410402,689133,77,88,0,4,1,1.0,10,1,1,809.0,,9,,,13 6 76 9 94 129 96,,112698 56986 76727 60276 121876,,,163 5499 6580 9153 9587,,,,1,2,1,
1244,30165556,0,47823,111645,287583,100,21,0,4,4,1.0,11,7,2,332.0,70 76 48 28 106 59 49 41 122 6 23 17 56 116 36 11,70 4 41 48,,,100 72 92 116 13 8 50 6 75 9 46 52 131 113 41 73 132 19 89 121 74 59 60 129,500814 677044 208136 444552 761493,105115 8207 51911 12779 37224,,2318 7697 5341 977 1611,5500 5073 4955 8625 1164,,,,3 1,1,3,
1244,9210396,0,47823,111645,287583,100,21,0,4,1,1.0,13 10,5,1,936.0,70 109 47 76 75 106 29 6 119 9 17 56 116 36 11,24 9 1 70 30,,,72 37 116 13 78 71 8 30 6 42 76 9 46 64 114 21 52 131 11 113 132 121 59 129 93,239738 708707 8561 401301 431552,114283 34525 65838 61749 37224,,1351 9467 4650 9481 6718,7753 6583 3662 6586 7717,,,,3 2,1,3,1.0
405,79899105,0,89349,256069,379108,22,19,0,4,3,2.0,0,1,0,108.0,93 70 30 109 47 76 75 69 8 29 49 122 6 73 39 46 57 9 36 11 87 44,,,,,8561 316481 457368 786967 580549,72686 846 73295 38442 51859,,5703 4391 6254 6939 7895,8067 9734 9588 2635 4086,,,,3 1,1,0,
1139,49661981,0,18621,154634,206919,35,21,0,4,2,2.0,11,6,2,43.0,75 29 6 73 57 36 11 87,,,,52 131 78 8 30 6 27 23 74 59 40,795313 568094 755502 221275 391535,29817 32132 117462 114283 28214,,8658 3498 276 1262 1854,5846 6581 4073 4736 8209,,,,1 3,1,1,
2195,69653661,0,5758,292530,448138,100,21,0,4,4,1.0,11,2,2,165.0,93 70 77 37 12 100 76 28 46 17 56 36 34 11,47 24 69 20 30,,,100 72 80 37 107 4 6 42 27 46 59 64 40,488378 428406 768010 232760 128266,104173 73237 108226 70672 53212,,8263 3588 5807 6501 6069,2686 9805 5454 8028 1307,,,,4 1 3,1,1,
856,2957236,0,60,115807,1205538,35,24,26,11,2,1.0,10,6,1,783.0,70 109 76 69 48 59 49 6 39 22 17 56 116 36 11 20,,,,72 116 13 47 78 109 8 30 6 42 76 9 58 64 35 52 131 69 132 89 121 23 59 118 10 18 81 130 120 93,583202 181856 117067 246310 407019,102474 56438 34307 114173 31370,,7561 2885 9839 4848 5473,3211 49 5230 2089 8197,,,,1 3,2,1,1.0
1213,19184699,0,6946,43128,1481584,59,24,3794,11,5,2.0,2 13,1,1,514.0,1 102 59 49 36 11,63 70 19 13 30 10,,,72 116 107 134 109 6 76 27 121 129 130 40 93 26,556397 497092 760376 555710 247686,94093 81476 90005 24908 83322,,4625 5146 7684 8402 1812,588 3706 1078 2143 8078,,,,3,1,1,
2156,67741710,0,990,1083,901792,22,117,526,9,2,1.0,13,7,1,212.0,59 49 122 73 90,73 46 70 14 10 29,,,92 116 101 109 128 50 73 6 132 19 76 121 59 60 18 58 129 130 96 93,353525 524064 98846 167565 425085,37979 43582 8546 117548 105942,,6586 6762 1450 5606 8048,1352 982 2386 1869 9261,,,,1 3,2,1,
1857,35744806,0,18630,33813,783308,53,4,0,4,3,1.0,15,2,1,879.0,93 70 37 76 75 48 33 106 29 46 36 11,,,,127 100 37 6 46 59 129,547858 8561 564885 562294 497092,62764 28206 58678 31920 19826,,9826 6939 1548 6661 3778,5275 6828 7198 8019 3771,,,,1 3,1 2,3,
1256,70847455,0,20475,104779,593712,95,108,0,6,5,2.0,15,7,1,94.0,70 77 28 49 15 6 114 46 58 116 36 11,,,,77 80 92 116 47 71 109 128 8 50 28 6 76 55 46 38 52 131 121 59 60 10 22 51 93,641940 632981 127113 385763 184876,91187 53212 117462 19526 105942,,6661 1605 2463 353 2744,221 4071 3127 1988 4441,,,,3 1,2,1,
1343,46367322,0,702,20048,1479521,42,24,5615,11,3,1.0,11,2,0,317.0,93 70 86 118 100 76 8 106 67 49 42 73 72 46 68 35 36 11 87,,,,100 72 131 11 79 8 69 6 42 89 46 64,297762 231370 207882 14935 164253,55816 34457 59067 41556 29848,,4127 1791 2264 6001 9846,690 5927 7528 1772 3936,,,,3 1,1 2,3,
1410,66246164,0,21453,209946,323983,91,94,0,4,2,1.0,10,2,1,115.0,70 76 75 29 36 11,47 22 73 24 9 31 46 32 70 20 21 33 80 30 74 40 23 37 44 72 10 29,,,72 92 131 37 116 78 71 109 29 8 30 6 132 75 46 74 129 114 83 15,605930 53354 465998 725039 592438,73295 11395 79112 71378 99924,,3550 9107 5703 6574 9826,7608 9751 6559 5674 8029,,,,3,1,0,
1410,28357963,0,21453,209946,323983,91,94,0,4,5,1.0,10,1,0,333.0,93 70 109 12 47 76 69 59 49 18 91 46 9 112 36 34 11 38,73,,,,768010 468512 773021 186995 393613,20029 10267 8125 94407 8546,,4872 9826 2519 5145 6722,2485 1193 1391 3867 292,,,,3,1,0,
1410,18713434,0,21453,209946,323983,91,94,0,4,5,2.0,11,7,2,348.0,70 86 28 16 59 49 83 36 11,,,,,607320 144468 369678 64588 19060,49921 77448 75576 64073 54450,,419 3068 8411 5282 5023,67 6546 4157 3104 5510,,,,3 1,1,2,
237,53434650,0,5552,28603,472459,35,27,113,9,5,2.0,2 13,1,1,152.0,70 86 47 76 28 83 108 2 72 9 36 11,,,,,64588 369678 605677 107362 358441,86191 79486 2490 1626 73507,,644 5862 6836 5063 537,1918 5729 9487 8581 4546,,,,4 1 3,2,0,
770,71513218,1,327,58931,509986,22,67,113,9,2,2.0,10,2,1,859.0,93 86 109 75 29 83 6 2 42 39 26 46 22 71 62 116 36 11 25,46 70 28 72 54 10,,,100 72 92 116 101 109 8 86 28 115 6 2 42 76 75 20 46 85 133 103 52 131 79 29 121 59 93,369678 517534 130119 702725 645355,19007 56505 121094 75859 41565,,7684 9826 7894 9801 5377,687 7053 634 7723 755,,,,3 2 4 1,1,1,
1937,71230437,0,2874,82532,918757,20,1,0,4,5,1.0,11,1,0,104.0,70 109 76 6 39 60 36 11,63 24 30,,,6 42 64 129,758223 387554 540607 8561 261075,62764 51872 2119 92596 52864,,2308 2887 9671 9826 2976,523 5162 4341 3160 9597,,,,1 3,1,1,
911,51820017,0,7630,254993,377200,35,67,113,9,1,2.0,11,7,1,668.0,93 70 86 98 47 69 29 49 27 6 7 73 72 46 36 11 38 44 100 76 48 28 106 59 67 15 41 85 57 9 87,73 31 44,,,127 100 72 116 71 109 8 50 28 6 42 99 76 27 20 46 64 133 38 21 40 52 131 11 16 132 59 60 129 130 93 83,53498 407303 155585 299940 579456,53464 99799 63117 56438 8546,,6579 7113 9826 6871 6634,5641 8387 6311 5115 7204,,,,3 1,2,1,
1502,67460138,0,9056,13766,988736,79,21,0,4,5,1.0,13 10,6,1,143.0,93 70 77 109 12 75 4 29 49 6 42 46 115 88 36 34 82 11 76 119 18 114 60 71 23,52 21,,,100 72 80 116 47 4 71 12 50 41 132 42 5 46 24 22 103 114 21,594891 732675 608683 532453 319757,20656 75218 61054 56819 41409,,2351 4139 4535 1094 5921,4326 2225 654 8515 2515,,,,1 3 2,1 2,1,
1747,2107163,0,23805,110892,1515786,59,149,14314,11,4,2.0,13 15,7,1,346.0,70 76 75 28 29 59 49 36 11,51 73 70 18,,,72 113 27 40,722321 381457 306906 64588 123402,17982 39525 25158 11249 26624,,7914 9852 9343 3162 834,5641 6311 5508 7957 1458,,,,3 1,2,1,
453,24008511,0,3910,153917,398538,35,117,2093,9,2,1.0,10,1,1,687.0,,22 70 54 10,,,52 31 109 8 120 83,,118026 116180 77529 15941 106194,,,8029 6939 7217 8594 1535,,,,4 3,1,1,
119,52936401,0,2775,3372,226211,22,21,0,4,1,2.0,13 10,7,1,273.0,70 76 48 73 87,47 9 32 33 76 55,,,52 72 131 116 13 79 71 109 8 61 50 6 76 27 121 59 14 38 90 120 93,8561,10358 119723 38236 66915 90838,,1812 6989 6940 967 1021,242 5066 1010 2970 7772,,,,3,1,1,
2091,48910233,0,11699,164865,222873,79,21,0,4,5,1.0,0,7,0,737.0,93 70 77 49 41 6 46 23 17 56 116 36 11,,,,52 100 80 131 8 42 46 64,10251 204707 589299 362620 446696,18185 108345 64465 37224 110841,,5590 1522 5338 1645 5669,5991 9441 4737 5592 336,,,,0,0,1,
128,18858420,0,49707,117354,150531,22,117,34450,9,5,1.0,11,7,2,415.0,93 70 77 86 37 109 98 47 75 4 69 29 49 83 6 2 46 36 11 107 76 59 119 114 60 71 57 24 103 116,47 24 9 69 52 46 32 70 21 33 19 4 13 30 41 37 72 54 10,,,100 72 80 92 37 116 4 71 8 28 115 6 76 20 46 38 21 52 131 79 132 62 74 59 129 96,151429 497092 529100 599910 283399,105115 12156 48866 20489 327,,7684 9826 523 6939 297,2485 1929 741 685 344,,,,3 1 2,1 2,2,
1058,30262391,0,21017,548645,1425020,91,179,0,4,5,2.0,10,7,1,72.0,93 70 86 118 109 47 76 28 8 16 59 67 49 83 73 39 95 46 9 36 11 90 87,73 1 46 70 4 74 48 37,,,100 72 92 116 13 47 8 50 86 115 6 76 27 75 9 46 40 52 31 131 69 132 19 5 89 121 59 10 130 93,388969 497092 385071 472789 721717,74061 44005 105115 8546 36764,,323 2441 6515 5230 8525,6311 5641 3394 3376 5631,,,,3 2 1,1,3,1.0
2190,68073737,0,7565,307302,476343,91,94,0,4,2,1.0,13 10,7,1,94.0,70 47 69 48 28 59 49 9 36 11 54,73 42 79 9 1 46 70 6 4 41 37 29 10 35,,,52 31 131 101 47 71 109 8 6 62 10 56 65,339063 150800 275804 119362 467961,11395 89419 43134 93952 46843,,1810 2109 7993 2292 740,1352 5236 982 7970 8636,,,,1 4,1,1,
216,43015414,0,6946,296367,554224,59,24,3794,11,3,1.0,0,2,0,425.0,93 70 77 37 101 76 4 48 6 46 71 36 11,58 24 9 21 30,,,,391535 208810 8561 696607 59727,36750 80263 8572 102474 19842,,9826 4149 9090 7684 4816,9751 5005 9154 6247 2756,,,,3 1,2 1,0,
2117,27175858,1,5758,50037,423998,100,21,0,4,5,1.0,11,7,1,161.0,93 70 77 37 98 75 4 69 8 29 49 6 73 46 56 36 11 54 118 100 122 18 95 71 23 57 17 116 3 87,,,,,338851 730501 773027 731217 741530,52864 106259 461 12933 5359,,1950 9949 644 4367 381,2955 6442 2979 1877 3944,,,,3 1,1,0,
863,23997178,0,370,371854,1200159,35,67,113,9,3,2.0,11,7,1,275.0,70 77 118 76 4 69 28 8 106 59 49 64 42 46 17 56 62 36 11 54 38,63 24 79 31 46 6 21 4 30 41 48 17 44 14,,,,520559 497092 460131 642206 162804,28206 37224 51106 97793 44567,,6661 5085 164 9304 9889,2880 8165 4995 4396 674,,,,1 3,1,0,
1232,40722661,0,7300,91140,1546436,79,21,0,4,5,2.0,13 10,7,0,514.0,,,,,,,77930 88919 37224 101620 75260,,,6978 3598 4002 1853 3559,,,,0,0,0,
1461,63631416,1,2775,3372,777424,22,21,0,4,1,2.0,10,3,1,792.0,70 76 36 11,73 9 1 70 4 48,,,52 72 131 79 8 50 6 42 76 27 89 59 60 129 68 40 93,47358 191969,104181 119723 38236 36764 93916,,6572 3603 164 6520 4543,5835 6420 8956 523 969,,,,3 1,1,1,
1561,72382217,0,79,2295,1220342,59,10,38,11,4,1.0,11,6,1,658.0,70 109 75 4 33 28 29 49 6 119 42 46 60 22 113 35 36 11,73 74,,,52 92 131 116 53 13 4 109 8 32 30 115 6 132 42 9 46 74 64 15,260271 175266 552250 261839 477013,115669 37224 60827 14498 84408,,9826 5400 201 145 2365,2987 5316 5685 1886 9089,,,,1 3 4,2,1,
601,67857421,1,42358,95714,541640,42,10,28289,11,3,2.0,13,6,2,434.0,93 70 77 86 37 109 75 4 8 29 49 83 6 73 26 46 56 36 11 40 30 118 100 76 28 59 119 114 71 17 3 87,24 30,6,,104 100 72 80 37 4 78 109 8 30 6 42 76 46 64 119 52 131 79 29 59 129 130 120 93,337608 247072 338851 527758 542834,87384 82720 81211 30101 90300,46185 5075 11911 17696 12595,6939 9826 2905 644 8586,5169 235 6810 8318 738,6972 9005 307 5119 1084,36602 58279 11927 38978 19021 36830,,3 1,1,3,
1039,21917911,1,7565,103691,1416059,91,94,0,4,1,2.0,10,6,1,152.0,70 76 75 29 59 49 36 11,24 73 1 70 19 13 30,,,72 33 92 63 116 13 1 71 109 8 32 50 28 98 6 42 99 76 27 75 9 20 64 21 40 52 31 131 107 79 29 69 87 19 89 121 59 129 51 120 93 83,547462 731496 96358 93389 398695,26491 86898 32918 74010 53423,,3648 6307 2011 9495 8437,2419 266 3036 9054 3035,,,,3 1,2,1,
1955,39458364,0,4179,68595,507631,22,27,113,9,1,2.0,11,7,1,772.0,93 70 86 109 47 75 69 8 29 49 108 6 42 26 46 56 36 11 54 96 25 51 76 28 59 122 119 18 71 113 23 17 9 116,79 6,,,100 92 116 13 78 71 109 8 30 28 115 6 42 76 55 9 75 46 64 91 52 131 121 59 129 130 51 83,154877 527831 589351 611666 64088,87249 117462 44365 6472 119740,,4080 6296 9826 2125 9700,3083 2705 4487 3335 1125,,,,3 1,2,1,1.0
590,77719125,0,17597,51385,989148,35,1,0,6,3,2.0,11,3,2,742.0,93 70 77 86 37 12 98 4 75 69 8 29 27 108 6 42 73 53 46 35 36 34 11 20 30 118 76 48 67 22 3,24 79 46 6 30 29,,,,338851 419575 162804 644449 704547,87384 81211 28206 83748 92902,,9826 7013 6762 5506 230,1725 5261 9696 7680 1876,,,,3 1,1,0,
