aid,uid,label
914,21794319,-1
411,11069246,-1
2050,53068606,-1
914,6154798,-1
1057,66731422,-1
1749,24405721,-1
1728,62822847,-1
1017,82231284,-1
1894,37595065,-1
543,74055665,-1
206,32252844,-1
411,17775607,-1
1749,32968456,-1
311,81847036,-1
1714,69440412,-1
1119,68375552,-1
1894,17043496,-1
792,30352565,-1
311,76379239,-1
1566,50080285,-1
411,23917328,-1
692,12370484,-1
561,126928,-1
1508,7194876,-1
561,28317474,-1
411,45359444,-1
1171,46776061,-1
1468,46656719,-1
1107,22160290,-1
1503,32836238,1
2066,55610229,-1
1338,5409946,-1
927,72019743,-1
302,53125176,-1
561,18296669,-1
1379,48577693,-1
2031,58429006,-1
916,39022851,-1
70,29993202,-1
117,22451280,-1
7,47183136,-1
1566,30392198,-1
977,17149063,-1
1230,696208,-1
432,24002958,-1
1284,39085424,-1
311,20070228,-1
1017,13901098,-1
692,65655113,-1
1291,59241413,-1
1918,28785371,-1
1407,16716731,-1
2044,65302017,-1
231,8127885,-1
1749,64881553,-1
1119,176736,1
1483,56042867,1
1819,78585276,-1
18,73761411,-1
1566,47080204,-1
1291,2305238,-1
1119,15506779,-1
692,8420432,-1
7,16871629,-1
1781,29959059,-1
692,73498149,-1
1254,69882155,1
1918,24525546,-1
2216,52972861,1
1284,25676172,-1
1230,61073647,-1
692,28896312,-1
916,1238994,-1
191,2913935,-1
117,25957978,-1
1918,33486436,-1
1918,45933966,-1
914,3727615,-1
1781,70655333,-1
681,76179654,-1
1377,58261347,-1
1714,29592028,1
286,71347625,-1
916,32836308,-1
561,19328345,-1
692,54430275,-1
136,24366679,-1
2031,20064965,-1
1940,60930240,-1
699,31534512,-1
70,46239821,-1
692,27188008,-1
1415,35587631,-1
1379,6207820,-1
1119,59015091,-1
1201,18816722,-1
792,14918653,-1
765,52907617,-1
302,58129238,-1
561,62755255,-1
173,61967036,-1
1566,59886205,-1
1918,64462494,1
561,31937556,-1
1566,25195875,-1
914,41081379,-1
1781,20752948,-1
1375,17446911,-1
1119,79017663,-1
1918,67165148,-1
519,12148067,-1
975,20992098,-1
136,78060661,-1
1017,52893257,-1
1827,16514378,-1
411,61272737,-1
2112,70260647,-1
2031,70453961,-1
1468,32548329,-1
2118,55798249,-1
74,23843942,-1
1291,36674380,-1
692,32534586,1
1716,69730666,-1
1119,62246607,-1
70,46833956,1
1338,7990622,-1
914,67993766,-1
191,38427141,-1
1468,57473468,-1
1468,39660617,-1
692,25083912,-1
1918,51857336,-1
966,48711438,-1
1605,45619065,-1
1119,29859666,-1
1566,59707974,-1
1918,59675553,-1
389,27241884,-1
1621,18659858,-1
1119,51063716,-1
164,16459145,-1
145,17919657,-1
1508,56731334,-1
1991,59308656,1
231,75315786,-1
1468,56215404,-1
1622,31943248,1
561,59889475,-1
311,870445,-1
404,17550489,-1
916,59575753,-1
471,52836407,-1
1407,2338963,-1
1894,77428852,-1
1728,16380360,-1
692,573561,-1
692,74293529,-1
191,13747625,-1
1119,65620878,-1
206,44503275,-1
1415,65851010,-1
681,4143394,-1
1291,34752556,-1
543,34715025,-1
699,80592708,-1
70,76230433,-1
1621,72404337,1
389,52329800,-1
2031,15710969,1
692,32652743,-1
70,26545943,-1
966,29510257,-1
145,15975011,-1
725,48085,-1
411,44841937,-1
914,4894823,-1
886,21891397,-1
1716,495559,-1
1918,64926301,1
1291,43784773,-1
765,28827205,-1
117,21181801,-1
1503,15633334,-1
1530,60662575,-1
1962,23395210,-1
727,53292324,-1
1566,3786051,-1
1119,32788325,-1
692,9457814,-1
2031,55672220,-1
12,73085007,-1
966,25244568,-1
411,74962549,-1
2013,69951239,-1
1379,19941201,-1
725,32899805,-1
1335,63552245,-1
692,21985767,-1
686,31951262,-1
1819,65011401,-1
136,823412,-1
692,5527095,-1
2201,7945687,-1
1728,11993576,-1
1317,17104549,-1
389,49132556,-1
846,29432544,1
914,1108185,-1
1566,45885696,-1
117,39489248,-1
1749,37041891,-1
692,39515262,-1
1468,61287985,-1
1291,13372718,-1
2118,64445353,1
1119,38868890,-1
1622,31499822,1
1415,48212965,-1
411,46456835,-1
561,74432715,-1
436,27486028,-1
966,7174360,-1
98,77164709,-1
914,44649851,-1
1918,66372804,-1
2112,60165466,-1
1622,51734246,-1
117,4238839,-1
1171,74862499,-1
1119,65614495,-1
1918,77329003,-1
914,73118086,-1
894,72553440,-1
681,5877908,-1
1291,74466149,-1
1119,3764011,-1
117,73709493,-1
1119,50513038,-1
1483,18333499,-1
1407,78984393,-1
272,43142537,-1
1566,23391738,1
411,66110480,-1
191,20512099,-1
792,33651897,1
1119,46349227,-1
1119,1997285,-1
1714,24579408,-1
70,22348860,-1
543,32375106,-1
411,33906737,-1
1379,68918803,-1
1119,56567432,-1
1291,12600623,-1
699,49007680,-1
1291,46038059,-1
1379,69822607,-1
1023,51325665,-1
1950,55939937,-1
136,16382070,-1
1119,64738821,-1
1379,43651744,-1
70,50639720,-1
1277,33939846,-1
1950,9916166,-1
2031,48808561,-1
1950,1800225,-1
1415,34807882,-1
1377,45763476,-1
681,73918407,-1
1377,7576271,-1
1530,68814709,-1
1468,63444834,-1
1918,38334151,-1
1596,32813030,-1
411,36078345,-1
302,71180661,-1
2050,40154406,-1
2050,55388487,-1
420,23636454,-1
1377,77611142,-1
311,55633922,-1
516,66239157,-1
2031,54909586,-1
846,25291389,-1
311,79716148,-1
411,81749424,-1
70,5340415,-1
2013,41179158,-1
1119,28501171,-1
2031,79156272,-1
543,44447421,-1
136,67980972,-1
1918,68872144,-1
173,12767222,-1
136,577240,1
1407,68238851,-1
688,22642576,-1
411,77545675,-1
2031,33508984,-1
748,72819607,-1
727,71444817,-1
12,69183761,-1
1841,2321171,-1
1119,69277232,-1
302,9708292,-1
2031,64155942,-1
70,76865115,-1
302,6954892,-1
2197,72511271,-1
561,77727222,-1
681,22053715,-1
1407,50516757,-1
1622,75962762,-1
177,37754739,-1
411,42155781,-1
1119,14721864,-1
70,40257292,-1
411,12559195,-1
164,45398875,-1
561,13747836,-1
311,31432725,-1
748,49158332,-1
1781,29689079,-1
302,5228776,-1
1254,7667197,-1
1841,58527137,-1
411,26901712,-1
1017,32771038,-1
136,22000222,-1
1566,44674413,-1
191,14183646,-1
136,41257682,-1
1375,21095003,-1
1468,51589192,-1
411,43419291,-1
191,39252768,-1
231,59731540,-1
70,60794624,-1
1918,45468118,-1
2054,5609454,-1
748,78244328,-1
1622,57269626,-1
562,22557375,-1
2013,59108685,-1
1605,22706392,-1
1746,78022817,-1
725,68056891,-1
792,47783790,-1
914,40729242,-1
173,61720374,-1
932,66702684,-1
1790,54145474,-1
1530,35585700,-1
389,80474784,-1
1379,28127518,-1
1291,32309105,-1
411,17839899,-1
1496,74966597,-1
2197,60049507,-1
561,73023443,-1
914,28811584,-1
966,62803451,-1
1605,46840921,-1
411,3106624,-1
1566,48526674,-1
692,302144,-1
966,46162227,-1
369,79305014,-1
692,61361860,-1
1291,7815577,-1
12,17398793,-1
191,3055600,-1
1566,40112859,1
1415,56536998,-1
692,24071254,-1
389,42926038,1
1044,29403355,-1
1827,64320538,1
212,61311826,-1
914,35002650,-1
74,50932235,-1
692,66761024,-1
1468,67457495,-1
1291,53734195,-1
1379,43406169,-1
117,9138417,-1
12,17250464,-1
2013,65610596,-1
1566,1177055,-1
853,35539045,-1
1483,37763047,-1
70,63681556,1
1023,33795826,-1
1503,53079504,-1
1468,42972281,-1
173,53947261,-1
846,58859494,-1
916,7150775,-1
231,66492999,-1
1291,55628521,-1
1468,24331578,-1
692,54299637,-1
543,77789297,-1
1918,56557042,-1
286,67972094,-1
1407,54584242,-1
1254,53767947,-1
1605,33961428,-1
725,36665146,1
1119,50153728,-1
1415,6527619,-1
1407,11206818,-1
543,80403558,-1
136,55642477,-1
1605,11912811,-1
311,21040291,-1
1140,21614357,-1
692,12986824,-1
1580,73614596,-1
1021,5156073,-1
966,71385636,-1
1728,39667098,-1
191,63035243,-1
404,17200465,-1
699,53927649,-1
1119,66277796,-1
765,13085577,-1
1483,69761583,-1
411,18153681,-1
2196,43633438,-1
2031,68508509,-1
454,5294914,-1
18,44615869,-1
1140,33070260,-1
212,7772122,-1
914,51241965,-1
692,37239311,-1
792,47799379,-1
70,81001352,-1
1918,80823314,-1
191,34923768,-1
1468,12603627,-1
916,11069723,-1
302,68103712,-1
117,48817680,-1
1566,47548757,-1
1119,52005232,-1
164,81025031,-1
1468,78768673,-1
411,31174292,-1
1918,75446935,-1
12,7835544,-1
1351,75060287,-1
1596,66225986,-1
1468,23913287,-1
454,7469989,-1
136,70205896,-1
411,37626788,-1
1291,18869133,-1
561,10017709,-1
411,29290676,-1
1291,16931930,-1
1468,67147961,-1
1512,14858151,-1
1468,39855991,-1
411,19565533,-1
206,6669301,-1
18,2030551,-1
748,32306641,-1
692,21207398,-1
561,44464649,-1
1291,69709275,-1
1566,28834307,-1
404,28582472,-1
311,68466745,-1
846,39266021,-1
2118,45882954,-1
561,80315701,-1
1503,11034246,-1
1918,39254874,-1
12,45450781,-1
1468,5308514,-1
1827,61281521,1
1605,19255612,-1
1119,28410961,-1
136,80849407,-1
432,34546279,-1
1530,54007305,-1
561,63093351,-1
1566,81708923,-1
302,15403115,-1
914,65274745,-1
2050,36447980,-1
561,12087122,-1
692,24346378,-1
1904,39120666,-1
7,42412878,-1
1375,22508918,-1
699,70880361,-1
914,72650582,-1
1291,50825964,-1
191,69189263,-1
846,75127474,-1
647,47650149,-1
1291,22835746,-1
838,49690748,-1
1468,14191101,-1
1819,1062081,-1
932,70866868,-1
212,80016757,-1
70,13937075,-1
1317,9770842,-1
432,31872268,-1
191,29166109,-1
1566,66493627,-1
1950,8609748,-1
1407,22517113,-1
7,76464918,1
2013,19683304,-1
1605,42823028,-1
1291,33305695,-1
1566,23224581,-1
173,81196517,-1
2031,67758825,-1
1201,44187432,-1
2118,17708002,1
411,17185912,-1
286,20323888,-1
1622,63145689,-1
1950,64242364,1
1415,78477956,-1
1468,61873764,-1
12,28124649,-1
932,22895247,-1
404,60454849,-1
1415,60990044,-1
1119,74854496,-1
1379,35734237,-1
212,39665003,-1
699,10218727,-1
1057,42545016,-1
302,28084086,-1
74,53321911,-1
846,42168311,-1
173,34139068,-1
692,30043766,-1
389,21453939,-1
117,19553048,-1
1827,33402066,-1
411,18137180,-1
191,42977592,-1
2205,67080327,-1
404,17628874,-1
74,26256185,-1
1338,37017435,-1
1291,81333828,-1
1596,13180633,-1
302,45716585,-1
1119,39990322,-1
727,78199624,-1
1057,75216505,-1
2066,77326987,-1
191,63714847,-1
389,30108043,-1
1530,34704960,-1
748,31832778,-1
894,70728856,-1
692,4146445,-1
411,30588652,-1
389,54964756,-1
411,56922143,-1
1202,82204389,-1
916,24143206,-1
966,65820688,-1
206,44834199,-1
2013,26773930,-1
2118,29833097,-1
411,41818175,-1
1021,823924,-1
561,68808935,-1
1119,76014553,-1
1284,7880738,-1
70,25944534,-1
136,42397251,-1
875,72759716,-1
136,69589136,-1
894,54680368,-1
692,48695740,-1
206,62458657,-1
914,6929911,-1
846,53086962,-1
70,7644594,-1
191,65775901,-1
286,67146360,-1
939,51166750,-1
1781,69232923,-1
1119,2454912,-1
692,24272958,-1
1596,8524487,-1
1530,12745554,-1
121,72496576,-1
1379,42492479,-1
1119,80035270,-1
1530,27659738,-1
1291,1096255,-1
1021,75133913,-1
727,28416534,-1
302,53926399,-1
692,3736832,-1
1566,57162512,-1
1201,29638295,-1
1483,75217366,-1
432,9337287,-1
1950,38887652,-1
748,41759015,-1
311,26940471,-1
1379,48345359,-1
1530,66869437,-1
1291,31540291,-1
692,47391713,-1
1119,40646832,1
411,11869494,-1
369,38104024,-1
454,46647729,-1
1119,46261617,-1
70,3624091,-1
1749,9669546,-1
561,59605860,-1
692,30585771,-1
1415,65028123,-1
1596,4545248,-1
70,46541104,-1
1930,6639754,-1
692,31919682,-1
561,1697646,-1
1566,23605227,-1
1201,10478566,-1
846,13802373,-1
932,78848893,-1
1027,12145049,-1
1530,53760848,-1
692,8221040,-1
561,77632094,-1
411,42948454,-1
191,47381016,-1
1827,63052524,-1
2031,6477733,-1
1566,76435105,-1
1119,37845110,-1
2118,74820538,-1
1215,1169143,-1
692,53217907,-1
1317,73740131,-1
624,7350261,-1
1781,54877178,-1
206,53675735,-1
692,62085019,-1
2118,31012728,-1
561,11082664,-1
436,19013024,1
727,79347588,-1
2205,10101694,-1
1970,47918181,-1
411,20410491,-1
411,3157196,-1
1871,15195,-1
1930,7319056,-1
692,43884970,-1
914,76234442,-1
692,7633822,-1
977,82193463,-1
1017,5464860,-1
966,5578623,-1
846,21890164,-1
1254,25937714,-1
1605,15552188,1
2031,79358769,-1
1415,64164844,-1
1407,72647354,-1
561,19031906,-1
1962,32827004,-1
1254,66413372,-1
70,7858757,-1
1605,42265332,-1
1415,49145555,-1
561,67915629,-1
1622,32958026,-1
692,9334760,-1
914,79450934,-1
1998,74412688,-1
411,79794219,-1
411,50816844,-1
1379,2697661,-1
1140,79709372,-1
1714,71175397,-1
2050,79113024,-1
1171,23059277,-1
70,37024077,-1
2205,36368498,-1
2196,241609,-1
692,65314059,-1
1291,45181949,1
2118,80390513,-1
1841,80362731,-1
846,24359112,-1
561,74422774,-1
404,29834450,-1
121,80779933,-1
692,48411084,-1
1375,62965920,-1
1781,76109649,-1
846,49419631,-1
1291,76158666,-1
647,15619520,-1
1182,79876518,1
1119,15015713,1
1918,16630820,-1
692,57334725,-1
1291,49522708,-1
529,34091591,-1
1415,13667119,-1
692,66347477,-1
914,62909593,-1
692,44727517,-1
692,18324791,1
1950,52391872,-1
846,55588534,1
191,30051318,-1
1377,35029146,-1
939,22270599,-1
692,14818928,-1
1605,9578027,-1
846,68010974,-1
471,22373010,-1
916,27793938,-1
173,38158601,-1
1379,82187598,-1
117,4823391,1
136,45488771,-1
914,72551962,-1
1580,74501675,-1
561,32502456,-1
1599,72560553,-1
1291,67381675,-1
206,40007319,-1
1017,44848032,-1
846,71489987,-1
725,48861995,-1
1957,13901039,-1
206,55053223,1
1950,47595455,-1
12,54905129,-1
613,60958166,1
2169,71231248,-1
231,50912869,-1
136,30971175,-1
136,60488353,-1
404,39916025,-1
136,25969725,-1
2031,76099722,-1
1508,70580539,-1
1284,40052659,-1
692,4399795,-1
1119,51410074,1
1119,51608046,-1
191,10892582,-1
1335,48475794,-1
450,39773805,-1
1596,16541234,-1
692,57109838,-1
1819,6347103,-1
1566,65070798,-1
914,33246380,-1
1215,63351007,-1
1375,59019539,-1
1605,37486708,1
1338,48478260,1
1605,29961751,-1
1119,41478832,-1
1119,44611542,-1
1918,34157043,1
1407,11565055,-1
411,47499426,-1
561,41448305,-1
1790,19025390,-1
1918,77989682,-1
727,29661059,-1
692,79694577,-1
1566,74673122,-1
725,78923658,-1
1107,43180729,-1
1950,28877321,-1
1379,56208106,-1
1605,24890124,1
389,72570460,-1
914,216861,-1
411,37184548,-1
1496,78877885,-1
1605,23336093,-1
846,25192115,-1
1338,81548664,-1
113,15494384,-1
117,80913075,-1
903,21524381,-1
561,67885149,-1
302,48911819,-1
692,51238427,-1
2068,37165305,-1
136,48531540,-1
1085,39743158,-1
1728,8452521,-1
1496,56003481,-1
1377,50832638,-1
692,23274230,1
1119,29187408,-1
1530,61354386,-1
1171,72876317,-1
1918,44566926,-1
1749,58378204,-1
692,70174176,-1
1415,44864448,-1
1530,2258043,-1
1714,36703713,-1
1119,22271915,-1
1566,13437909,-1
561,74384304,-1
70,38532714,-1
1407,29641443,-1
70,79821915,1
432,82294623,-1
846,31270481,-1
136,27490955,-1
411,55563384,-1
1291,47634374,1
1530,44004660,-1
1605,6134353,-1
1621,80993376,-1
977,76295846,-1
2118,15696427,-1
411,78916162,-1
1140,47879485,-1
1580,35882244,-1
404,2727442,-1
212,16918272,-1
411,14814297,-1
1998,49640443,-1
2118,68220309,-1
692,77925394,-1
1827,27388055,-1
543,57678992,-1
692,21636013,-1
692,55698214,-1
561,54752547,-1
561,64167164,-1
1566,25132408,-1
1201,61101397,-1
117,24109148,-1
1635,45792001,-1
191,81608122,-1
725,37275206,-1
1918,74207375,-1
1119,13909921,-1
2013,6800283,-1
2050,10439619,-1
1918,67010258,-1
173,54068938,-1
1379,80926060,-1
561,62697030,-1
1201,41833332,-1
2066,40135552,-1
411,39384365,-1
1119,76091766,-1
1044,43750258,-1
2201,66053917,-1
411,10406455,-1
1119,33444774,-1
1415,67062437,-1
692,43555751,-1
1119,50851539,1
1317,57778470,-1
1085,77305574,-1
404,81480542,-1
519,56031187,-1
1379,53183596,-1
686,62568187,-1
70,9911718,-1
939,58341837,-1
1605,62665913,-1
191,29126625,-1
1605,5840800,-1
561,24282618,-1
1350,54948909,-1
1107,2225060,-1
411,62750718,-1
692,57766427,-1
1449,21624695,-1
561,419303,-1
1566,4610366,-1
2050,26722872,-1
1119,1637007,-1
1512,1249565,-1
1338,61301069,-1
1215,50667249,-1
561,63981200,1
1605,52743304,-1
1847,74206490,-1
432,80517179,1
1254,62666362,-1
914,66599371,-1
1605,28626497,-1
1119,42189615,-1
1119,54192475,-1
939,22758795,-1
286,18733413,-1
686,27115231,-1
1379,24242608,1
692,75573714,-1
939,26483430,-1
1596,18557707,-1
2154,54901043,-1
121,31788017,-1
174,41434045,-1
1622,2271474,-1
1021,56270770,-1
389,67112884,-1
2196,46128998,-1
1605,35216063,-1
121,62263385,-1
1566,38617293,-1
7,22200282,-1
136,39304266,-1
1918,33876058,-1
853,42277335,-1
1894,79000782,1
70,47114509,-1
1415,57733969,-1
916,4911496,-1
2031,77595554,-1
1201,11833579,-1
2201,52094187,-1
846,47509724,-1
1635,38066411,-1
2013,29994042,-1
1918,32814592,-1
1950,19413180,-1
1119,72827868,-1
420,49799964,-1
543,32870734,-1
1728,68500126,-1
2031,78113663,-1
1021,35863435,-1
1728,7646374,-1
1182,10239459,-1
1842,33550196,1
1566,51646692,-1
411,12051179,-1
1950,9050458,-1
914,18027228,-1
846,32526305,-1
1940,4558707,-1
647,67391143,-1
1910,3108876,-1
212,1310040,-1
206,24142795,-1
1781,6589656,1
1605,69080383,1
1468,11452383,-1
624,49673280,-1
692,28182561,-1
692,28900480,-1
1998,44048638,-1
2031,29488491,-1
692,76748766,-1
302,71025420,-1
1468,67559354,-1
1254,47683803,-1
1819,58013931,-1
7,12962434,-1
1017,59402608,-1
136,75339997,-1
1201,34286579,-1
1468,33705842,-1
561,32515831,-1
302,10926372,-1
725,53328106,-1
846,38205174,-1
561,51509203,-1
231,3158584,-1
454,55692232,-1
1379,55865427,-1
1317,43716990,-1
1596,16177434,-1
1291,17596521,-1
177,14423028,-1
1119,45473281,1
1291,25224643,-1
1468,52267721,-1
1254,29893674,-1
966,23511925,-1
1468,48744961,-1
1728,42802634,-1
411,75300105,-1
311,65238391,-1
311,10622502,-1
136,32082151,-1
1918,57618289,-1
2050,54826946,-1
1621,12617737,-1
311,79837148,-1
2216,9366931,-1
748,76619136,-1
411,37644207,-1
1119,14130723,-1
1254,55963954,-1
1468,77420309,-1
1716,81152417,-1
1827,21415926,-1
2031,5939713,-1
231,8336111,-1
117,43453149,-1
389,80743247,-1
838,3692297,-1
86,3498780,-1
206,66804662,-1
1291,22781770,-1
2050,68183374,-1
692,13827097,-1
389,36271843,-1
432,34409158,-1
727,80832746,-1
1119,8267367,-1
1468,55290478,-1
1605,66254988,-1
692,61936410,-1
471,37735234,-1
286,81092662,-1
1407,21251504,-1
1842,79397773,-1
404,34952315,-1
1827,47224801,-1
914,53669280,-1
1605,77592670,-1
2118,40299926,-1
86,96671,-1
2118,50540898,-1
411,53704157,-1
1918,68118251,-1
411,28908158,-1
2050,78968952,-1
1728,69683290,-1
1379,79085460,-1
411,24864375,-1
966,33591825,1
1291,57231081,-1
411,38140987,1
1407,64069209,-1
1119,32322759,-1
1580,30252630,-1
561,38961855,-1
1781,12281578,-1
1407,76345091,-1
1291,67219991,-1
1023,66002633,-1
692,8956976,1
450,29534708,-1
1566,4135001,-1
117,51720493,-1
1291,42786129,-1
727,56856778,-1
725,62415533,-1
1291,10132715,-1
543,62128851,-1
1119,81718286,-1
2205,24374828,-1
692,20935692,-1
1918,31238505,-1
1119,70973608,-1
1379,37019505,-1
369,18264482,-1
692,66028309,-1
191,14579326,-1
117,31891374,-1
748,71049410,-1
369,32334062,-1
1566,30508043,-1
692,44180230,-1
1119,21777461,-1
1468,65428036,-1
1415,44909207,-1
1605,14170708,-1
1957,6601873,-1
70,3263803,-1
543,53085942,-1
2048,59242964,-1
1468,17008377,-1
1291,58974150,-1
692,65491258,-1
311,3978844,-1
389,24002974,-1
1530,65255180,-1
117,20533555,-1
411,75062044,-1
411,23767671,-1
561,44176754,-1
561,37266723,-1
914,71114178,-1
1021,9691018,-1
1819,10489599,-1
311,1228593,-1
1714,470285,-1
1918,45466276,-1
411,69471756,-1
692,43493171,-1
1291,6481227,-1
561,34705530,-1
70,51561926,-1
1842,34542653,-1
1119,75939292,-1
1291,25248635,-1
1871,25243703,-1
117,36123116,-1
692,44243423,-1
1918,57254859,-1
1379,16319061,-1
792,691319,1
1496,60671330,-1
1119,69312076,-1
543,14623402,-1
1468,59548349,-1
692,17787053,-1
692,57088311,1
1749,48812013,-1
792,31535092,-1
12,16960838,-1
1415,61384611,-1
136,56253970,-1
2054,47589301,-1
411,6144125,-1
411,26308967,-1
2031,12758814,1
725,72255440,-1
1566,63216778,-1
561,64618988,-1
1605,25730180,-1
70,17687836,-1
681,53930701,-1
311,37850764,-1
1119,44493262,-1
18,72144428,-1
748,22326326,-1
1970,47772518,-1
1468,80372726,-1
1468,29782213,-1
1530,76751047,-1
681,34394724,-1
561,12379006,-1
2118,38006010,-1
692,45957071,-1
191,36878857,-1
846,74458123,-1
136,5862938,-1
792,49682507,-1
1468,80392971,-1
1605,42610287,-1
894,7066337,-1
939,17540048,-1
1119,67626269,-1
1716,71810170,-1
2201,52077796,-1
1566,3990657,-1
1566,30214436,1
1119,36809933,-1
561,20727490,-1
311,12335785,-1
191,50204566,-1
1841,66265353,1
1202,62992921,-1
2050,61653514,-1
692,37147904,-1
1819,28978401,-1
411,6403485,-1
432,42667079,-1
1119,58009205,-1
748,56258625,-1
1407,80192664,-1
914,37364760,-1
846,3254705,-1
846,4575853,-1
1728,43978502,-1
1931,38978492,-1
1017,65576186,1
1746,16687106,-1
1503,21155627,-1
1119,19809448,-1
136,16550892,-1
692,30304239,-1
1714,14279567,-1
1918,56778826,-1
2013,24398383,1
692,59338107,-1
1291,41894060,-1
117,29133179,-1
1415,36497016,-1
1254,28929362,-1
692,36517130,-1
404,75670865,-1
177,77620189,-1
792,55697150,-1
1415,32591388,-1
1119,75502887,-1
1530,54591980,-1
846,70615498,-1
1291,41521847,-1
1790,26926430,-1
1918,30358443,-1
1596,79894,-1
2201,46999634,-1
1918,28331035,-1
212,24374563,-1
173,53414708,-1
70,43029211,-1
1596,75486015,-1
1918,28564479,-1
543,70462045,-1
1530,75920124,-1
302,13518467,-1
914,24009617,-1
1379,42367282,-1
846,44374603,-1
302,26113069,-1
2118,65533106,-1
792,66439397,-1
765,29709804,-1
692,29757608,-1
1379,39113766,-1
411,30808092,-1
1119,70874663,-1
432,48938265,-1
12,80017037,-1
1496,79972981,-1
411,79530259,-1
404,49079752,-1
671,2971527,-1
136,1139160,-1
1407,51982673,-1
1379,34211298,-1
1566,61324293,-1
1291,75605061,-1
369,64713650,-1
2031,35789274,-1
145,75092633,-1
117,51430764,-1
692,29560506,-1
2013,42077012,-1
1291,44408571,-1
1622,61484051,-1
2048,76951130,-1
1140,49189111,-1
411,20660969,-1
875,75638315,-1
136,21768146,-1
